title,release_date,vote_count,vote_average,return
Home for the Holidays,1995-11-02,39.0,6.3,17519169.0
The Postman,1994-09-22,181.0,7.6,0.0
The Confessional,1995-09-29,2.0,6.5,0.0
The Indian in the Cupboard,1995-07-14,136.0,5.9,0.0
Eye for an Eye,1996-01-12,65.0,5.8,0.0
Mr. Holland's Opus,1995-12-29,115.0,6.9,106269971.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,192.0,6.2,0.0
Two If by Sea,1996-01-12,14.0,4.5,0.0
Bio-Dome,1996-01-12,110.0,4.4,0.0
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,32.0,2.8,2409225.0
Two Bits,1995-10-22,11.0,5.4,0.0
French Twist,1995-02-08,43.0,6.0,0.0
Friday,1995-04-26,513.0,7.0,8.061690857142857
From Dusk Till Dawn,1996-01-19,1644.0,6.9,1.3598218947368421
Fair Game,1995-11-03,54.0,4.1,0.23068954
Kicking and Screaming,1995-10-06,36.0,7.0,718490.0
Les Miserables,1995-03-22,8.0,6.6,0.0
Bed of Roses,1996-01-26,27.0,5.1,19030691.0
Big Bully,1996-01-26,16.0,3.9,0.13616866666666666
Screamers,1995-09-08,154.0,6.1,0.28909425
Nico Icon,1995-02-18,3.0,7.3,0.0
The Crossing Guard,1995-11-15,74.0,6.1,0.0
The Juror,1996-02-02,91.0,5.5,0.0
The White Balloon,1995-01-01,20.0,7.5,0.0
Things to Do in Denver When You're Dead,1995-12-01,87.0,6.7,0.06622075
Antonia's Line,1995-09-12,26.0,7.2,0.0
Once Upon a Time... When We Were Colored,1996-01-26,2.0,4.5,0.0
Last Summer in the Hamptons,1995-11-22,0.0,0.0,0.0
Angels and Insects,1995-09-10,17.0,6.3,0.0
White Squall,1996-02-02,86.0,6.3,0.2710526315789474
Dunston Checks In,1996-01-12,59.0,5.1,0.0
Black Sheep,1996-02-01,124.0,6.0,32.0
Nick of Time,1995-11-22,190.0,6.1,1.000732370443081
The Journey of August King,1995-09-14,3.0,6.7,0.0
Mary Reilly,1996-02-23,77.0,5.7,0.2633915319148936
Vampire in Brooklyn,1995-10-26,113.0,4.5,1.4142857142857144
Beautiful Girls,1996-02-09,103.0,6.6,0.0
Broken Arrow,1996-02-09,459.0,5.7,3.00540294
A Midwinter's Tale,1995-12-01,6.0,7.5,0.0
La Haine,1995-05-31,695.0,7.9,0.0
Shopping,1994-12-06,13.0,5.6,0.0
Heidi Fleiss: Hollywood Madam,1995-12-27,4.0,6.8,0.0
City Hall,1996-02-16,67.0,6.0,0.0
Bottle Rocket,1996-02-21,285.0,6.8,0.08000985714285715
Mr. Wrong,1996-02-16,16.0,3.3,0.0
Unforgettable,1996-02-23,22.0,5.3,0.0
Happy Gilmore,1996-02-16,767.0,6.5,3.43375825
The Bridges of Madison County,1995-05-28,397.0,7.3,7.584025708333333
Nobody Loves Me,1994-11-07,5.0,5.1,0.0
Muppet Treasure Island,1996-02-16,93.0,6.5,34327391.0
Catwalk,1995-12-08,2.0,7.0,0.0
Headless Body in Topless Bar,1995-05-20,0.0,0.0,0.0
Braveheart,1995-05-24,3404.0,7.7,2.9166666666666665
Taxi Driver,1976-02-07,2632.0,8.1,21.74044153846154
Rumble in the Bronx,1995-01-30,245.0,6.5,4.3189396
Before and After,1996-02-23,37.0,5.8,0.0
Margaret's Museum,1995-09-13,2.0,7.5,0.0
Happiness Is in the Field,1995-01-31,23.0,7.0,0.0
Anne Frank Remembered,1995-06-08,4.0,7.3,1.0
The Young Poisoner's Handbook,1995-01-20,19.0,6.9,0.0
If Lucy Fell,1996-03-08,11.0,5.4,0.0
Steal Big Steal Little,1995-09-29,7.0,5.1,0.25112556
Race the Sun,1996-03-22,21.0,5.2,0.0
The Boys of St. Vincent,1992-12-06,7.0,7.0,0.0
Boomerang,1992-06-30,139.0,5.4,1.7525
Chungking Express,1994-07-14,249.0,7.9,0.0
The Star Maker,1995-09-21,29.0,6.8,0.0
Flirting with Disaster,1996-03-22,66.0,6.3,2.100348285714286
The Neverending Story III: Escape from Fantasia,1994-10-26,105.0,4.4,0.0
The Silences of the Palace,1994-09-30,3.0,4.3,0.0
Jupiter's Wife,1995-01-01,0.0,0.0,0.0
Pie in the Sky,1996-02-09,2.0,7.0,0.0
Angela,1995-01-01,9.0,5.6,0.0
Frankie Starlight,1995-11-22,4.0,5.4,0.0
Jade,1995-10-13,45.0,5.1,0.1970322
Nueba Yol,1995-08-16,1.0,5.5,0.0
Sonic Outlaws,1995-08-01,0.0,0.0,0.0
Down Periscope,1996-03-01,110.0,5.6,0.0
From the Journals of Jean Seberg,1995-09-08,2.0,6.5,0.0
Man of the Year,1995-09-15,2.0,3.8,209935.0
The Neon Bible,1995-08-23,5.0,7.2,0.0
Target,1995-08-01,0.0,0.0,0.0
Up Close & Personal,1996-03-01,51.0,5.9,0.0
The Birdcage,1996-03-08,303.0,6.7,5.976146870967742
Virgin Mary,1995-10-12,2.0,7.0,0.0
The Brothers McMullen,1995-08-09,23.0,6.3,0.0
Bad Boys,1995-04-07,1729.0,6.5,7.442474947368421
The Amazing Panda Adventure,1995-08-25,31.0,5.0,0.0
The Basketball Diaries,1995-04-21,472.0,7.2,0.0
An Awfully Big Adventure,1995-07-21,11.0,6.0,0.21288625
Amateur,1994-08-05,21.0,6.5,0.0
Apollo 13,1995-06-30,1637.0,7.3,6.831498711538462
Rob Roy,1995-04-13,151.0,6.5,1.1284611071428572
The Addiction,1995-01-10,46.0,6.4,0.0
Batman Forever,1995-06-16,1529.0,5.2,3.36529144
Belle de Jour,1967-05-24,163.0,7.3,0.0
Beyond Rangoon,1995-05-24,21.0,6.4,0.0
Blue in the Face,1995-09-15,28.0,6.8,0.6375
Canadian Bacon,1995-06-08,57.0,5.9,0.016191272727272728
Casper,1995-05-26,1045.0,6.0,5.75856388
Clockers,1995-09-15,69.0,6.8,0.52286072
Congo,1995-06-09,214.0,5.0,3.04044202
Crimson Tide,1995-05-12,508.0,7.0,2.969569716981132
Crumb,1994-09-10,71.0,7.6,3174695.0
Desperado,1995-08-25,898.0,6.8,3.6293492857142855
Devil in a Blue Dress,1995-09-15,88.0,6.3,0.5978082222222222
Die Hard: With a Vengeance,1995-05-19,2094.0,6.9,4.067796288888889
The Doom Generation,1995-10-27,57.0,5.6,0.0
Feast of July,1995-10-12,0.0,0.0,0.0
First Knight,1995-07-07,319.0,5.9,2.320007909090909
Free Willy 2 - The Adventure Home,1995-07-19,130.0,5.5,0.0
Hackers,1995-09-14,406.0,6.2,0.3781864
Jeffrey,1995-08-18,19.0,6.5,0.0
Johnny Mnemonic,1995-05-26,380.0,5.5,0.7630288
Judge Dredd,1995-06-30,643.0,5.4,1.2610386777777778
Jury Duty,1995-04-12,34.0,4.0,17014653.0
Kids,1995-07-28,280.0,6.8,4.941477333333333
Living in Oblivion,1995-01-20,64.0,7.2,2.297504
Lord of Illusions,1995-08-25,87.0,5.9,0.0
Love & Human Remains,1993-05-20,7.0,7.0,0.0
Mad Love,1995-05-26,27.0,5.5,15453274.0
Mallrats,1995-10-20,400.0,6.8,0.35376016666666665
Mighty Morphin Power Rangers: The Movie,1995-06-30,153.0,5.2,4.4
Moonlight and Valentino,1995-09-29,10.0,5.6,0.0
Mute Witness,1995-09-28,36.0,6.4,0.5
Nadja,1994-09-13,12.0,5.9,0.0
The Net,1995-07-28,359.0,5.6,5.028543863636363
Nine Months,1995-07-12,171.0,5.5,69660733.0
Party Girl,1995-06-09,14.0,5.8,3.1491333333333333
The Prophecy,1995-09-01,139.0,6.4,2.0
Reckless,1995-11-17,1.0,10.0,0.0
Safe,1995-06-23,62.0,7.2,0.0
The Scarlet Letter,1995-10-13,111.0,5.5,0.20764814
The Show,1995-08-25,2.0,5.3,0.0
Showgirls,1995-09-22,261.0,4.9,0.4522389777777778
Smoke,1995-06-09,115.0,7.2,1.1927757142857143
Something to Talk About,1995-08-04,60.0,5.7,50892160.0
Species,1995-07-07,457.0,5.5,3.2392600857142857
The Stars Fell on Henrietta,1995-09-15,6.0,6.6,0.0
Strange Days,1995-10-13,334.0,6.8,0.18950692857142856
The Umbrellas of Cherbourg,1964-02-19,119.0,7.6,0.0
The Tie That Binds,1995-09-08,9.0,4.6,0.41285714285714287
Three Wishes,1995-10-27,18.0,6.1,7025496.0
Total Eclipse,1995-11-02,112.0,6.5,339889.0
"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,117.0,6.3,47774193.0
Under Siege 2: Dark Territory,1995-07-13,217.0,5.6,1.7387347166666667
Unstrung Heroes,1995-09-15,9.0,6.4,0.0
Unzipped,1995-08-11,6.0,6.0,0.0
A Walk in the Clouds,1995-08-11,168.0,6.5,2.50062535
Waterworld,1995-07-28,1017.0,5.9,1.5098184
White Man's Burden,1995-12-01,25.0,5.1,0.0
Wild Bill,1995-12-01,27.0,5.9,0.0
The Browning Version,1994-10-12,11.0,6.0,0.0
Bushwhacked,1995-08-04,29.0,4.9,0.0
Burnt by the Sun,1994-05-01,35.0,6.7,0.9344653571428572
Before the Rain,1994-06-09,45.0,7.7,763847.0
Before Sunrise,1995-01-27,984.0,7.7,2.214162
Billy Madison,1995-02-10,464.0,6.2,2.6488734
The Babysitter,1995-10-17,27.0,4.7,0.0
Boys on the Side,1995-02-03,48.0,6.3,1.1166666666666667
The Cure,1995-04-21,58.0,7.2,0.0
Castle Freak,1995-08-04,40.0,5.8,0.0
Circle of Friends,1995-03-16,30.0,6.5,0.0
Clerks,1994-09-13,769.0,7.4,116.70851851851852
Don Juan DeMarco,1994-10-01,184.0,6.3,0.888
Disclosure,1994-12-09,217.0,5.9,3.891183436363636
Dream Man,1995-01-01,1.0,2.5,0.0
Drop Zone,1994-12-08,91.0,5.1,0.0
Destiny Turns on the Radio,1995-04-28,9.0,5.3,0.0
Death and the Maiden,1994-05-04,92.0,7.1,0.0
Dolores Claiborne,1995-03-24,183.0,7.1,0.0
Dumb and Dumber,1994-12-16,1894.0,6.5,15.454710875
Eat Drink Man Woman,1994-08-03,76.0,7.5,7294403.0
Exotica,1994-09-24,64.0,6.5,0.0
Exit to Eden,1994-10-14,28.0,4.3,6841570.0
Ed Wood,1994-09-27,639.0,7.3,0.32708094444444447
French Kiss,1995-05-05,179.0,6.2,0.0
Forget Paris,1995-05-19,38.0,6.1,0.0
Far from Home: The Adventures of Yellow Dog,1995-01-13,27.0,5.6,0.0
A Goofy Movie,1995-04-07,404.0,6.7,35348597.0
Hideaway,1995-03-03,24.0,5.0,0.813417
Fluke,1995-06-02,48.0,6.6,0.0
Farinelli,1994-12-07,20.0,5.9,0.0
Gordy,1995-05-12,4.0,3.0,3992809.0
Gumby: The Movie,1995-12-01,2.0,5.0,0.0
The Glass Shield,1994-09-16,9.0,5.4,0.0
Hoop Dreams,1994-09-12,91.0,7.7,11.186587142857142
Heavenly Creatures,1994-09-02,299.0,6.9,0.609827
Houseguest,1995-01-06,17.0,6.0,2.507167238095238
Immortal Beloved,1994-12-16,90.0,6.9,0.0
Heavyweights,1995-02-17,97.0,6.0,17689177.0
The Hunted,1995-02-24,25.0,6.0,0.0
I.Q.,1994-12-24,112.0,5.9,0.0
Interview with the Vampire,1994-11-11,1558.0,7.2,3.7277434666666664
Jefferson in Paris,1995-03-31,10.0,5.2,0.1767142857142857
The Jerky Boys,1995-02-03,10.0,4.8,0.0
Junior,1994-11-22,381.0,4.7,0.6166666666666667
Just Cause,1995-02-17,124.0,6.0,0.0
A Kid in King Arthur's Court,1995-08-11,40.0,4.3,0.0
Kiss of Death,1995-04-21,83.0,5.7,0.0
Star Wars,1977-05-25,6778.0,8.1,70.49072790909091
Little Women,1994-12-21,222.0,7.0,0.0
A Little Princess,1995-05-10,207.0,7.4,0.0
Ladybird Ladybird,1994-02-18,14.0,7.4,0.0
L'Enfer,1994-02-16,22.0,6.6,0.0
Like Water for Chocolate,1992-04-16,70.0,6.6,10.832734
Legends of the Fall,1994-12-16,636.0,7.2,5.354629433333334
Major Payne,1995-03-24,164.0,6.1,0.0
Little Odessa,1994-10-27,31.0,6.4,0.0
Mi Vida Loca,1994-06-08,9.0,5.7,0.0
Love Affair,1994-10-21,11.0,4.3,0.0
Losing Isaiah,1995-03-17,28.0,6.4,0.44728035294117646
The Madness of King George,1994-12-28,67.0,6.7,0.0
Mary Shelley's Frankenstein,1994-11-04,272.0,6.1,2.4890288
Man of the House,1995-03-03,40.0,5.1,0.0
Mixed Nuts,1994-12-21,37.0,5.2,0.0
Milk Money,1994-08-31,49.0,5.6,18137661.0
Miracle on 34th Street,1994-11-18,199.0,6.4,46264384.0
Miami Rhapsody,1995-01-27,7.0,5.6,0.8333333333333334
My Family,1995-05-03,11.0,7.0,0.0
Murder in the First,1995-01-20,140.0,6.9,17381942.0
Nobody's Fool,1994-12-23,56.0,7.0,0.0
Nell,1994-12-23,128.0,6.1,3.4414134516129034
New Jersey Drive,1995-04-19,7.0,6.9,0.0
New York Cop,1993-08-14,0.0,0.0,0.0
Beyond Bedlam,1994-04-22,4.0,4.0,0.0
Nemesis 2 - Nebula,1995-09-26,10.0,4.6,0.0
Nina Takes a Lover,1995-03-03,4.0,7.4,0.0
Natural Born Killers,1994-08-25,927.0,6.9,1.4789048823529412
Only You,1994-09-17,92.0,6.4,0.0
Once Were Warriors,1994-09-02,106.0,7.6,2201126.0
Poison Ivy II: Lily,1996-01-16,32.0,4.6,0.0
Outbreak,1995-03-10,522.0,6.4,3.7971912
Leon: The Professional,1994-09-14,4293.0,8.2,2.830310875
The Perez Family,1995-05-12,9.0,6.6,0.25752963636363635
A Pyromaniac's Love Story,1995-04-28,2.0,7.0,0.0
Pulp Fiction,1994-09-10,8670.0,8.3,26.74109525
Panther,1995-11-10,6.0,6.4,6834525.0
Pushing Hands,1992-02-01,9.0,6.1,0.380805
Priest,1994-01-01,32.0,6.4,4176932.0
Quiz Show,1994-09-16,262.0,7.1,0.0
Picture Bride,1995-05-05,5.0,7.4,0.0
Queen Margot,1994-05-13,67.0,7.0,0.0
The Quick and the Dead,1995-02-09,431.0,6.2,0.579764375
Roommates,1995-03-01,7.0,6.4,0.5636363636363636
Prêt-à-Porter,1994-12-23,33.0,5.3,0.7533768666666667
Three Colors: Red,1994-05-27,246.0,7.8,0.0
Three Colors: Blue,1993-01-10,311.0,7.7,0.0
Three Colors: White,1994-01-26,218.0,7.3,0.0
"Red Firecracker, Green Firecracker",1994-10-14,2.0,7.0,0.0
Rent-a-Kid,1995-01-01,15.0,5.1,0.0
Relative Fear,1995-10-03,3.0,4.7,0.0
Stuart Saves His Family,1995-04-12,6.0,5.0,0.0
The Swan Princess,1994-11-18,251.0,6.5,0.27919022857142856
The Secret of Roan Inish,1994-01-01,15.0,6.1,0.0
The Specialist,1994-10-07,317.0,5.5,3.7858351555555556
Stargate,1994-10-27,942.0,6.8,3.5739502181818184
The Santa Clause,1994-11-10,501.0,6.3,8.628788954545454
The Shawshank Redemption,1994-09-23,8358.0,8.5,1.13365876
Shallow Grave,1994-12-22,247.0,7.0,0.0
Suture,1993-09-14,7.0,6.0,102780.0
Strawberry and Chocolate,1993-01-01,16.0,7.1,0.0
Swimming with Sharks,1994-09-10,104.0,6.7,0.0
The Sum of Us,1994-07-12,21.0,6.0,0.0
Senior Trip,1995-09-08,23.0,5.7,0.0
To Live,1994-06-30,62.0,7.7,0.0
Tank Girl,1995-03-31,140.0,5.5,0.1625798
Tales from the Crypt: Demon Knight,1995-01-13,96.0,6.7,0.0
Star Trek: Generations,1994-11-17,461.0,6.4,3.1578947368421053
Tales from the Hood,1995-05-24,33.0,5.4,2.0
Tom & Viv,1994-04-15,8.0,5.8,0.0
Village of the Damned,1995-04-28,165.0,5.6,0.0
Tommy Boy,1995-03-31,321.0,6.8,32648673.0
Vanya on 42nd Street,1994-09-13,15.0,6.1,0.0
The Underneath,1995-04-28,15.0,5.6,0.0
The Walking Dead,1995-02-24,4.0,6.6,0.0
What's Eating Gilbert Grape,1993-12-17,943.0,7.5,0.9120695454545454
Virtuosity,1995-08-04,163.0,5.4,0.8016
While You Were Sleeping,1995-04-21,340.0,6.5,10.709236235294117
The War,1994-11-04,39.0,6.3,0.0
Double Happiness,1994-09-07,2.0,5.5,759393.0
Muriel's Wedding,1994-09-29,104.0,6.9,5.039879666666667
The Baby-Sitters Club,1995-08-18,23.0,5.3,0.0
Ace Ventura: Pet Detective,1994-02-04,1684.0,6.4,7.1478264
"The Adventures of Priscilla, Queen of the Desert",1994-05-31,174.0,7.2,11220670.0
Backbeat,1994-04-01,37.0,6.2,0.0
Bitter Moon,1992-09-02,115.0,7.0,0.372561
Bullets Over Broadway,1994-10-14,130.0,7.0,0.0
Clear and Present Danger,1994-08-03,390.0,6.4,3.482059951612903
The Client,1994-07-20,287.0,6.4,2.6136713555555557
"Corrina, Corrina",1994-08-12,83.0,6.4,0.0
Crooklyn,1994-05-13,31.0,6.7,0.0
The Crow,1994-05-11,980.0,7.3,6.266666666666667
Cobb,1994-12-02,29.0,6.1,1007583.0
The Flintstones,1994-05-26,559.0,5.0,7.426765391304348
Forrest Gump,1994-07-06,8147.0,8.2,12.326279981818182
Four Weddings and a Funeral,1994-03-09,654.0,6.6,42.45013866666667
Higher Learning,1995-01-11,49.0,6.4,38290723.0
I Like It Like That,1994-10-14,4.0,6.3,1777020.0
I Love Trouble,1994-06-29,41.0,5.3,1.3766059333333334
It Could Happen to You,1994-07-29,154.0,6.1,0.0
The Jungle Book,1994-12-23,107.0,5.9,0.0
"The Wonderful, Horrible Life of Leni Riefenstahl",1993-09-11,5.0,7.3,449707.0
The Lion King,1994-06-23,5520.0,8.0,17.516483911111113
Little Buddha,1993-12-01,76.0,6.0,0.13880397142857143
New Nightmare,1994-10-13,297.0,6.4,1.2921557857142858
The Mask,1994-07-29,2550.0,6.6,15.286235086956522
Maverick,1994-05-20,490.0,6.6,0.0
Mrs. Parker and the Vicious Circle,1994-09-07,20.0,6.3,0.0
The Naked Gun 33⅓: The Final Insult,1994-03-18,535.0,6.4,1.7044199333333334
The Paper,1994-03-18,40.0,6.1,0.0
Reality Bites,1994-02-18,180.0,6.5,1.7460739130434784
Red Rock West,1993-07-08,71.0,6.4,0.25
Ri¢hie Ri¢h,1994-12-19,426.0,5.4,0.0
Safe Passage,1994-12-01,7.0,4.9,0.0
The River Wild,1994-09-30,214.0,6.1,0.0
Speed,1994-06-09,1814.0,6.8,11.681604833333333
Speechless,1994-12-16,24.0,5.5,0.0
Timecop,1994-09-15,288.0,5.5,3.764688185185185
True Lies,1994-07-14,1138.0,6.8,3.2946296608695653
When a Man Loves a Woman,1994-04-29,71.0,6.0,50021959.0
Wolf,1994-06-17,221.0,6.0,0.0
Wyatt Earp,1994-06-24,203.0,6.5,0.39765079365079364
Bad Company,1995-01-20,12.0,4.9,0.0
A Man of No Importance,1994-12-22,2.0,6.5,953.0
S.F.W.,1994-09-15,22.0,6.1,0.0
A Low Down Dirty Shame,1994-11-23,31.0,6.0,2.9392418
"Boys Life: Three Stories of Love, Lust, and Liberation",1994-09-30,1.0,2.0,0.0
Colonel Chabert,1994-01-01,9.0,5.9,0.0
"Faster, Pussycat! Kill! Kill!",1965-08-06,59.0,6.5,0.0
Jason's Lyric,1994-09-28,9.0,5.9,2.9787887142857143
The Secret Adventures of Tom Thumb,1993-12-10,8.0,7.1,0.0
Street Fighter,1994-12-22,330.0,4.1,2.8406720285714284
Coldblooded,1995-09-15,13.0,6.7,0.0
Desert Winds,1997-12-31,0.0,0.0,0.0
Fall Time,1995-05-13,6.0,6.3,0.0
The Fear,1995-01-20,7.0,3.4,0.0
Frank and Ollie,1995-10-20,4.0,7.5,0.0
Girl in the Cadillac,1995-10-24,1.0,10.0,0.0
Homage,1995-05-03,0.0,0.0,0.0
Mirage,1995-11-21,1.0,4.0,0.0
Open Season,1996-05-03,0.0,0.0,0.0
Dos Crímenes,1995-05-26,1.0,5.0,0.0
Brother Minister: The Assassination of Malcolm X,1995-03-01,1.0,4.0,0.0
Highlander: The Final Dimension,1994-11-29,110.0,4.5,1.4153846153846155
Federal Hill,1995-02-24,2.0,5.0,0.0
In the Mouth of Madness,1994-12-12,307.0,7.1,1.118325
8 Seconds,1994-02-25,22.0,7.2,0.0
Above the Rim,1994-03-23,40.0,6.7,0.0
Addams Family Values,1993-11-19,537.0,6.5,48919043.0
Martin Lawrence: You So Crazy,1994-04-27,4.0,4.5,0.0
The Age of Innocence,1993-09-17,172.0,7.0,0.9486894117647059
Airheads,1994-08-05,222.0,5.8,0.0
The Air Up There,1994-01-07,42.0,5.1,1.2301814988290398
Another Stakeout,1993-07-22,58.0,4.9,0.0
Bad Girls,1994-04-22,61.0,4.6,15240435.0
Barcelona,1994-07-29,20.0,6.6,0.0
Being Human,1994-05-06,15.0,5.0,0.0
The Beverly Hillbillies,1993-10-15,86.0,5.0,0.0
Beverly Hills Cop III,1994-05-24,445.0,5.5,2.38417978
Black Beauty,1994-07-29,68.0,6.6,0.0
Blink,1994-01-26,45.0,6.3,16668552.0
Blown Away,1994-07-01,126.0,6.0,30156002.0
Blue Chips,1994-02-18,41.0,5.7,0.0
Blue Sky,1994-09-16,28.0,6.1,0.0
Body Snatchers,1993-06-09,102.0,5.8,0.032989846153846154
Boxing Helena,1993-06-18,59.0,4.5,1796389.0
A Bronx Tale,1993-09-14,447.0,7.4,0.7858135454545454
Cabin Boy,1994-01-07,28.0,4.9,3662459.0
Calendar Girl,1993-09-03,10.0,3.7,0.19770346153846155
Carlito's Way,1993-11-10,805.0,7.7,1.2172004
City Slickers II: The Legend of Curly's Gold,1994-06-10,103.0,4.9,0.0
Clean Slate,1994-05-06,25.0,5.7,7355425.0
Cliffhanger,1993-05-28,600.0,6.1,3.642860157142857
Coneheads,1993-07-23,228.0,4.8,0.0
Color of Night,1994-08-19,117.0,5.4,0.49315125
Cops & Robbersons,1994-04-15,36.0,5.0,0.0
The Cowboy Way,1994-06-03,38.0,5.1,0.0
Dangerous Game,1993-11-19,9.0,5.4,0.0
Dave,1993-05-07,205.0,6.3,63000000.0
Dazed and Confused,1993-09-24,588.0,7.4,1.1584114492753623
Demolition Man,1993-10-08,1018.0,6.4,2.7904520701754385
The Endless Summer 2,1994-06-03,12.0,7.1,0.0
Even Cowgirls Get the Blues,1994-05-13,29.0,4.2,0.0
Fatal Instinct,1993-10-29,37.0,5.4,0.0
Farewell My Concubine,1993-09-16,98.0,7.8,0.0
The Favor,1994-04-29,6.0,3.3,0.0
Fearless,1993-10-15,80.0,6.8,0.0
Fear of a Black Hat,1994-10-28,11.0,5.8,0.0
With Honors,1994-04-29,54.0,6.1,0.0
Flesh and Bone,1993-11-05,22.0,6.2,9488998.0
Widows' Peak,1994-05-13,3.0,4.3,0.0
For Love or Money,1993-10-01,77.0,5.7,0.3715423333333333
The Firm,1993-06-30,513.0,6.6,6.434484928571429
Free Willy,1993-07-16,429.0,6.0,7.68493125
Fresh,1994-08-24,56.0,7.6,0.0
The Fugitive,1993-08-06,1240.0,7.2,8.38354
Geronimo: An American Legend,1993-12-10,44.0,5.9,0.5324462857142858
The Getaway,1994-02-11,81.0,5.4,30.0
Getting Even with Dad,1994-06-17,43.0,4.5,0.0
Go Fish,1994-06-10,5.0,3.9,0.0
A Good Man in Africa,1994-07-14,11.0,5.2,0.0
Guilty as Sin,1993-06-04,21.0,5.6,22886222.0
Hard Target,1993-08-20,237.0,6.1,4.121648722222222
Heaven & Earth,1993-12-24,51.0,6.4,0.0
Hot Shots! Part Deux,1993-05-21,463.0,6.2,5.350113
Live Nude Girls,1995-12-08,12.0,4.7,0.0
The Englishman Who Went Up a Hill But Came Down a Mountain,1995-05-12,83.0,6.1,0.0
The House of the Spirits,1993-10-19,135.0,6.7,0.0
House Party 3,1994-01-01,11.0,4.6,0.0
The Hudsucker Proxy,1994-03-11,280.0,7.1,0.0
I'll Do Anything,1994-02-04,18.0,5.7,0.0
In the Army Now,1994-08-12,54.0,4.7,28881266.0
In the Line of Fire,1993-07-08,392.0,6.8,4.4249292
In the Name of the Father,1993-12-12,363.0,7.6,5.0612970769230765
The Inkwell,1994-04-22,5.0,3.9,8880705.0
What's Love Got to Do with It,1993-06-09,75.0,6.9,0.0
Jimmy Hollywood,1994-03-30,17.0,4.6,0.0
Judgment Night,1993-10-15,79.0,6.4,12136938.0
Jurassic Park,1993-06-11,4956.0,7.6,14.604761904761904
Kalifornia,1993-09-01,209.0,6.5,0.2661367777777778
Killing Zoe,1993-10-01,111.0,6.1,0.27930733333333335
King of the Hill,1993-08-20,33.0,6.4,0.0
Lassie,1994-07-22,54.0,6.1,0.0
